               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  90,            0.037932,            0.010403,                   0,             0.88328,             0.88285,             0.89347,             0.39831,            0.034258,           0.0069448,                   0,           0.0033615,           0.0033615,            0.021562
                  91,            0.038614,            0.010504,                   0,             0.94338,             0.83307,             0.92396,             0.43632,            0.034871,           0.0070036,                   0,           0.0033246,           0.0033246,            0.020625
                  92,            0.036966,            0.010939,                   0,             0.92475,                0.85,             0.89665,             0.43106,             0.03352,           0.0070384,                   0,           0.0032867,           0.0032867,            0.019687
                  93,            0.040492,            0.010604,                   0,             0.92727,             0.84993,             0.90022,             0.41914,            0.034966,           0.0070021,                   0,           0.0032477,           0.0032477,            0.018748
                  94,            0.044676,            0.010115,                   0,             0.94171,             0.81667,             0.87786,             0.39591,            0.035661,           0.0066844,                   0,           0.0032078,           0.0032078,            0.017808
                  95,            0.040218,            0.011995,                   0,             0.90906,             0.83333,             0.89621,             0.41658,            0.034918,           0.0067267,                   0,           0.0031669,           0.0031669,            0.016867
                  96,            0.036515,            0.011677,                   0,             0.88495,                 0.9,             0.90221,             0.39842,            0.034629,           0.0069028,                   0,           0.0031252,           0.0031252,            0.015925
                  97,            0.038275,            0.010296,                   0,             0.88516,                 0.9,             0.90741,             0.38865,            0.035312,            0.007024,                   0,           0.0030827,           0.0030827,            0.014983
                  98,            0.040591,            0.010072,                   0,             0.94475,             0.86667,             0.92087,             0.43169,            0.033672,           0.0067363,                   0,           0.0030395,           0.0030395,            0.014039
                  99,            0.036885,            0.010976,                   0,              0.9164,             0.91667,             0.93038,              0.4527,            0.033584,           0.0067605,                   0,           0.0029956,           0.0029956,            0.013096
                 100,            0.034021,            0.010081,                   0,                   1,             0.84995,             0.91872,             0.46024,            0.032833,           0.0067059,                   0,            0.002951,            0.002951,            0.012151
                 101,            0.035886,             0.01041,                   0,             0.89774,             0.88333,             0.90194,             0.35092,            0.037074,           0.0067855,                   0,           0.0029059,           0.0029059,            0.011206
                 102,            0.040431,           0.0098359,                   0,             0.92855,             0.86639,             0.91305,             0.44919,               0.034,           0.0066803,                   0,           0.0028602,           0.0028602,             0.01026
                 103,            0.033927,            0.010463,                   0,             0.89633,             0.86667,             0.89617,             0.46668,            0.032694,           0.0066713,                   0,           0.0028141,           0.0028141,           0.0093141
                 104,             0.03837,            0.010835,                   0,             0.96169,                0.85,             0.92543,             0.43935,            0.034982,           0.0066776,                   0,           0.0027676,           0.0027676,           0.0083676
                 105,            0.042821,           0.0096432,                   0,             0.88705,             0.91628,             0.93031,             0.45651,            0.031854,           0.0065218,                   0,           0.0027208,           0.0027208,           0.0074208
                 106,             0.03738,            0.011362,                   0,             0.92834,             0.86667,             0.90863,             0.37194,            0.033351,           0.0066342,                   0,           0.0026737,           0.0026737,           0.0064737
                 107,            0.034199,            0.010385,                   0,             0.94423,                0.85,             0.92171,             0.38263,            0.031955,           0.0065752,                   0,           0.0026264,           0.0026264,           0.0055264
                 108,            0.033748,             0.01008,                   0,             0.94444,             0.84992,             0.91177,             0.44471,            0.031239,           0.0065758,                   0,            0.002579,            0.002579,            0.004579
                 109,            0.034918,            0.010323,                   0,             0.92851,              0.8659,             0.93047,             0.43866,            0.031484,           0.0066211,                   0,           0.0025315,           0.0025315,           0.0036315
                 110,            0.036745,            0.010424,                   0,             0.89828,             0.88333,             0.93846,             0.45388,             0.03188,           0.0065708,                   0,           0.0024839,           0.0024839,           0.0026839
                 111,             0.03351,            0.010392,                   0,             0.88519,                 0.9,             0.93157,             0.45644,            0.031905,           0.0066297,                   0,           0.0024195,           0.0024195,           0.0024195
                 112,            0.033969,            0.010075,                   0,             0.86875,             0.88333,             0.91569,             0.46467,            0.031405,           0.0066879,                   0,           0.0024195,           0.0024195,           0.0024195
                 113,            0.036608,            0.010435,                   0,             0.86432,                0.85,             0.88216,             0.44973,            0.032842,           0.0068282,                   0,           0.0023515,           0.0023515,           0.0023515
                 114,            0.034862,             0.01019,                   0,             0.89628,             0.86667,              0.9073,             0.43131,            0.033805,           0.0068836,                   0,           0.0022849,           0.0022849,           0.0022849
                 115,            0.033073,            0.010344,                   0,             0.89629,             0.86667,             0.90268,             0.42945,             0.03339,            0.006943,                   0,           0.0022196,           0.0022196,           0.0022196
