               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  67,            0.044189,            0.016874,                   0,             0.74464,             0.75267,             0.77155,              0.2996,            0.048731,            0.012394,                   0,           0.0067495,           0.0067495,           0.0067495
                  68,             0.04463,            0.016993,                   0,             0.76572,             0.69723,             0.75327,             0.29214,             0.04943,            0.012808,                   0,           0.0066671,           0.0066671,           0.0066671
                  69,            0.044202,            0.016853,                   0,             0.75909,             0.69296,              0.7597,             0.28711,            0.050299,            0.012774,                   0,           0.0065843,           0.0065843,           0.0065843
                  70,            0.043638,            0.016553,                   0,             0.76539,             0.71002,             0.75327,             0.29158,             0.04936,            0.012827,                   0,           0.0065013,           0.0065013,           0.0065013
                  71,            0.043634,            0.017027,                   0,             0.73485,             0.71642,             0.75334,              0.2983,            0.049627,             0.01291,                   0,           0.0064181,           0.0064181,           0.0064181
                  72,            0.043674,            0.017099,                   0,             0.73988,             0.69936,             0.73231,             0.27741,            0.051308,            0.012971,                   0,           0.0063347,           0.0063347,           0.0063347
                  73,             0.04323,            0.016895,                   0,             0.74797,             0.71002,              0.7473,             0.28794,            0.049925,            0.012904,                   0,           0.0062512,           0.0062512,           0.0062512
                  74,            0.043037,            0.016567,                   0,             0.76018,             0.65672,             0.71998,             0.27696,            0.051432,            0.013004,                   0,           0.0061675,           0.0061675,           0.0061675
                  75,            0.043506,            0.016859,                   0,             0.72424,             0.65032,             0.70391,             0.26459,            0.052198,            0.013081,                   0,           0.0060838,           0.0060838,           0.0060838
                  76,              0.0429,            0.016072,                   0,             0.72205,             0.70362,             0.71946,             0.27482,            0.051677,             0.01282,                   0,               0.006,               0.006,               0.006
                  77,            0.042714,            0.017132,                   0,             0.76449,             0.69936,             0.76238,             0.30234,            0.049452,            0.012674,                   0,           0.0059162,           0.0059162,           0.0059162
                  78,            0.043034,            0.016843,                   0,             0.75873,             0.65885,             0.71937,             0.28744,             0.04985,            0.012876,                   0,           0.0058325,           0.0058325,           0.0058325
                  79,            0.042791,             0.01693,                   0,             0.79878,             0.66951,             0.75728,             0.28268,            0.049672,             0.01264,                   0,           0.0057488,           0.0057488,           0.0057488
                  80,            0.041605,            0.016578,                   0,             0.77301,             0.67531,             0.72197,             0.28098,            0.049997,            0.012909,                   0,           0.0056653,           0.0056653,           0.0056653
                  81,            0.040797,            0.015836,                   0,             0.73293,             0.64366,             0.70638,             0.27199,              0.0515,            0.012917,                   0,           0.0055819,           0.0055819,           0.0055819
                  82,            0.042368,            0.016727,                   0,             0.74154,             0.70352,             0.73684,             0.28429,            0.050554,            0.012868,                   0,           0.0054987,           0.0054987,           0.0054987
                  83,            0.040932,             0.01623,                   0,             0.78374,             0.69723,             0.74246,             0.27583,            0.050509,            0.012799,                   0,           0.0054157,           0.0054157,           0.0054157
                  84,            0.041051,            0.016869,                   0,             0.74114,             0.71425,             0.74355,             0.27782,            0.049941,            0.012798,                   0,           0.0053329,           0.0053329,           0.0053329
                  85,             0.04144,            0.016149,                   0,             0.75466,             0.68443,             0.74041,             0.28184,            0.050487,            0.013127,                   0,           0.0052505,           0.0052505,           0.0052505
                  86,            0.042044,            0.016968,                   0,             0.74389,             0.66311,             0.70524,             0.27719,            0.051753,            0.013227,                   0,           0.0051684,           0.0051684,           0.0051684
                  87,            0.040617,            0.015773,                   0,             0.74354,             0.68617,             0.72427,             0.28747,            0.050164,            0.012982,                   0,           0.0050866,           0.0050866,           0.0050866
                  88,            0.041811,            0.016408,                   0,             0.80825,             0.66508,             0.75444,              0.2905,            0.049624,            0.012826,                   0,           0.0050052,           0.0050052,           0.0050052
                  89,            0.040514,             0.01662,                   0,             0.76684,             0.70149,             0.74766,             0.28303,            0.049834,            0.012862,                   0,           0.0049243,           0.0049243,           0.0049243
                  90,            0.040347,            0.016273,                   0,             0.81122,             0.69723,             0.78396,             0.30084,            0.049258,            0.012838,                   0,           0.0048439,           0.0048439,           0.0048439
                  91,             0.03969,            0.015665,                   0,             0.76344,               0.695,             0.74509,             0.29168,            0.050376,            0.012951,                   0,           0.0047639,           0.0047639,           0.0047639
                  92,            0.039354,            0.015615,                   0,             0.75205,             0.68017,             0.73706,             0.27174,            0.050741,            0.013208,                   0,           0.0046845,           0.0046845,           0.0046845
                  93,             0.04064,            0.016563,                   0,             0.79251,             0.70149,              0.7697,              0.3026,            0.049623,            0.012809,                   0,           0.0046057,           0.0046057,           0.0046057
                  94,            0.040874,            0.015889,                   0,             0.74654,             0.70965,             0.75063,             0.29422,            0.050081,            0.013049,                   0,           0.0045275,           0.0045275,           0.0045275
                  95,            0.040023,            0.016109,                   0,             0.72758,             0.68443,             0.72971,             0.29229,            0.050126,            0.012784,                   0,           0.0044499,           0.0044499,           0.0044499
                  96,            0.039488,             0.01586,                   0,             0.70114,             0.68657,             0.72473,             0.29125,             0.05027,            0.012825,                   0,           0.0043731,           0.0043731,           0.0043731
                  97,             0.04062,            0.015831,                   0,             0.76558,             0.65456,             0.72954,             0.28189,            0.050838,            0.012916,                   0,           0.0042969,           0.0042969,           0.0042969
                  98,             0.03981,            0.015864,                   0,              0.7147,             0.70576,             0.72867,             0.28858,            0.050506,            0.013035,                   0,           0.0042215,           0.0042215,           0.0042215
                  99,             0.03993,            0.016512,                   0,             0.72436,             0.71215,             0.74066,             0.29078,            0.049758,             0.01325,                   0,           0.0041468,           0.0041468,           0.0041468
                 100,            0.039006,            0.015778,                   0,             0.76673,             0.68017,             0.74172,             0.29044,            0.050572,            0.013153,                   0,            0.004073,            0.004073,            0.004073
                 101,            0.039264,            0.015603,                   0,             0.72218,             0.70943,             0.73296,              0.2864,            0.050067,             0.01307,                   0,               0.004,               0.004,               0.004
